project_id,deployment_id,sequence_id,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,start_time,end_time,group_size,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license
2006496,TX_Grassland_LaCopita_Site1,7077526,0,Dave Pearce,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,9/14/2023 19:00,9/14/2023 19:00,1,,,,,,,,,,CC0
2006496,TX_Grassland_LaCopita_Site1,7077593,0,Dave Pearce,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,10/6/2023 16:48,10/6/2023 16:48,1,,,,,,,,,,CC0
2006496,TX_Grassland_LaCopita_Site1,7077620,0,Dave Pearce,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,10/16/2023 9:10,10/16/2023 9:10,1,,,,,,,,,,CC0
2006496,TX_Grassland_LaCopita_Site1,7077619,1,Dave Pearce,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,10/17/2023 15:09,10/17/2023 15:09,1,,,,,,,,,,CC0
2006496,TX_Grassland_LaCopita_Site1,7077545,0,Dave Pearce,d668b142-a012-4c44-b837-7b4e92a89119,Aves,Passeriformes,Corvidae,Cyanocorax,yncas,Green Jay,,9/20/2023 17:11,9/20/2023 17:11,1,,,,,,,,,,CC0
2006496,TX_Grassland_LaCopita_Site1,7077569,0,Dave Pearce,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,9/25/2023 9:23,9/25/2023 9:23,1,,,,,,,,,,CC0
2006496,TX_Grassland_LaCopita_Site1,7077559,0,Dave Pearce,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,9/22/2023 1:43,9/22/2023 1:43,1,,,,,,,,,,CC0
2006496,TX_Grassland_LaCopita_Site1,7077628,0,Dave Pearce,aaf3b049-36e6-46dd-9a07-8a580e9618b7,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,,10/19/2023 18:53,10/19/2023 18:53,1,,,,,,,,,,CC0
2006496,TX_Grassland_LaCopita_Site1,7077581,1,Dave Pearce,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,9/26/2023 23:59,9/26/2023 23:59,1,,,,,,,,,,CC0
2006496,TX_Grassland_LaCopita_Site1,7077531,1,Dave Pearce,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,9/14/2023 10:55,9/14/2023 10:55,1,,,,,,,,,,CC0
2006496,TX_Grassland_LaCopita_Site1,7077592,1,Dave Pearce,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,10/3/2023 15:04,10/3/2023 15:04,1,,,,,,,,,,CC0
2006496,TX_Grassland_LaCopita_Site1,7077536,0,Dave Pearce,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,9/17/2023 8:56,9/17/2023 8:56,1,,,,,,,,,,CC0
