"","project_id","deployment_id","sequence_id","is_blank","identified_by","wi_taxon_id","class","order","family","genus","species","common_name","uncertainty","start_time","end_time","group_size","age","sex","animal_recognizable","individual_id","individual_animal_notes","behavior","highlighted","markings","cv_confidence","license"
"1",2007780,"TX_Grassland_Rural_LaCopita_Site1",10811636,0,"Dave Pearce","1f689929-883d-4dae-958c-3d57ab5b6c16","","","","","","Animal",NA,"2024-10-24 04:58:54","2024-10-24 04:58:54",1,"","","","","","","false","",NA,"CC-BY"
"2",2007780,"TX_Grassland_Rural_LaCopita_Site1",10811590,0,"Dave Pearce","d372cda5-a8ca-4b7b-97ed-4e4fab9c9b4b","Mammalia","Cetartiodactyla","Suidae","Sus","scrofa","Wild Boar",NA,"2024-09-17 01:24:12","2024-09-17 01:24:12",1,"","","","","","","false","",NA,"CC-BY"
"3",2007780,"TX_Grassland_Rural_LaCopita_Site1",10811605,0,"Dave Pearce","d372cda5-a8ca-4b7b-97ed-4e4fab9c9b4b","Mammalia","Cetartiodactyla","Suidae","Sus","scrofa","Wild Boar",NA,"2024-09-23 02:47:21","2024-09-23 02:47:22",1,"","","","","","","false","",NA,"CC-BY"
"4",2007780,"TX_Grassland_Rural_LaCopita_Site1",10811610,0,"Dave Pearce","d372cda5-a8ca-4b7b-97ed-4e4fab9c9b4b","Mammalia","Cetartiodactyla","Suidae","Sus","scrofa","Wild Boar",NA,"2024-10-09 23:31:02","2024-10-09 23:31:02",1,"","","","","","","false","",NA,"CC-BY"
"5",2007780,"TX_Grassland_Rural_LaCopita_Site1",10811616,0,"Dave Pearce","d372cda5-a8ca-4b7b-97ed-4e4fab9c9b4b","Mammalia","Cetartiodactyla","Suidae","Sus","scrofa","Wild Boar",NA,"2024-10-09 23:28:23","2024-10-09 23:28:23",1,"","","","","","","false","",NA,"CC-BY"
"6",2007780,"TX_Grassland_Rural_LaCopita_Site1",10811620,0,"Dave Pearce","d372cda5-a8ca-4b7b-97ed-4e4fab9c9b4b","Mammalia","Cetartiodactyla","Suidae","Sus","scrofa","Wild Boar",NA,"2024-10-16 06:16:34","2024-10-16 06:16:34",1,"","","","","","","false","",NA,"CC-BY"
"7",2007780,"TX_Grassland_Rural_LaCopita_Site1",10811631,0,"Dave Pearce","f2d233e3-80e3-433d-9687-e29ecc7a467a","Mammalia","","","","","Mammal",NA,"2024-10-22 03:28:55","2024-10-22 03:28:55",1,"","","","","","","false","",NA,"CC-BY"
"8",2007780,"TX_Grassland_Rural_LaCopita_Site1",10811637,0,"Elina De la Cruz","066c4187-4a03-4531-9f62-ac585ad0a138","Mammalia","Primates","Hominidae","Homo","sapiens","Human-Camera Trapper",NA,"2024-10-29 09:50:58","2024-10-29 09:50:59",1,"","","","","","","false","",NA,"CC-BY"
"9",2007780,"TX_Grassland_Rural_LaCopita_Site1",10811568,0,"Elina De la Cruz","5c7ce479-8a45-40b3-ae21-7c97dfae22f5","Mammalia","Cetartiodactyla","Cervidae","Odocoileus","virginianus","White-tailed Deer",NA,"2024-09-12 20:20:35","2024-09-12 20:20:38",1,"","","","","","","false","",NA,"CC-BY"
"10",2007780,"TX_Grassland_Rural_LaCopita_Site1",10811576,0,"Elina De la Cruz","5c7ce479-8a45-40b3-ae21-7c97dfae22f5","Mammalia","Cetartiodactyla","Cervidae","Odocoileus","virginianus","White-tailed Deer",NA,"2024-09-14 01:04:37","2024-09-14 01:04:38",1,"","","","","","","false","",NA,"CC-BY"
"11",2007780,"TX_Grassland_Rural_LaCopita_Site1",10811580,0,"Elina De la Cruz","5c7ce479-8a45-40b3-ae21-7c97dfae22f5","Mammalia","Cetartiodactyla","Cervidae","Odocoileus","virginianus","White-tailed Deer",NA,"2024-09-13 07:43:39","2024-09-13 07:43:40",1,"","","","","","","false","",NA,"CC-BY"
